text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @EarlOfEnough: ❗️BIPARTISAN BLOCKBUSTER❗️

👇🏾

The ONLY reason @realDonaldTrump was not charged with obstruction of justice is because h…",FALSE,0,NA,2019-05-06T23:04:43Z,FALSE,NA,1125536902009036805,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sjctex,110,TRUE,FALSE,NA,NA
@joeharris @realDonaldTrump 😂😂😂😂😂😂 you funny #MuellerReport,FALSE,0,joeharris,2019-05-06T23:04:40Z,FALSE,1125487178988052481,1125536889090371584,6162282,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Mannix1925,0,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:04:23Z,FALSE,NA,1125536818521231361,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Westerngirl2017,2407,TRUE,FALSE,NA,NA
"$35mil wasted on #MuellerReport 

Just spit ballin but that $ could have been put towards family courts so parents/… https://t.co/akKWdSQxup",FALSE,0,NA,2019-05-06T23:04:20Z,TRUE,NA,1125536804420104192,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NationalUnionP2,0,FALSE,FALSE,NA,NA
"Make that MEN created ""facial recognition""—it's known in the #AI world that there is an unbalanced male emphasis on… https://t.co/9Tg9Fjx8Sg",FALSE,0,NA,2019-05-06T23:04:08Z,TRUE,NA,1125536754621136896,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lensjockey,0,FALSE,FALSE,NA,NA
RT @TheLoyalO: The House Judiciary Committee likely will hold Barr in contempt of Congress for failing to turn over the full #MuellerReport…,FALSE,0,NA,2019-05-06T23:04:03Z,FALSE,NA,1125536732701573120,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JYLaven,312,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:04:03Z,FALSE,NA,1125536732688990209,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RhodesWest75,2407,TRUE,FALSE,NA,NA
RT @RepMGS: Those of us who came of age during the Watergate era feel the weight of that period in our history once again. The #MuellerRepo…,FALSE,0,NA,2019-05-06T23:03:55Z,FALSE,NA,1125536701835829248,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Philip_13,134,TRUE,FALSE,NA,NA
RT @JacksonLeeTX18: This morning #AGBarr refused the direct demand of the @HouseJudiciary Committee representing the co-equal branch of gov…,FALSE,0,NA,2019-05-06T23:03:43Z,FALSE,NA,1125536650581483522,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",susie12719469,11,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:03:41Z,FALSE,NA,1125536640007434240,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ghartma24074714,2407,TRUE,FALSE,NA,NA
